valid,frame_count,air_temp_degC,humdity_percent,pres_mb,module_error
1,25967,25.20,28.20,76.67,0
1,25968,25.26,28.29,76.67,0
1,25969,25.29,28.43,76.69,0
1,25970,25.37,28.54,76.68,0
1,25971,25.45,28.67,76.65,0
1,25972,25.36,28.67,76.68,0
1,25973,25.20,29.04,76.67,0
1,25974,25.03,29.25,76.69,0
1,25975,24.95,29.42,76.68,0
1,25976,24.88,29.51,76.70,0
1,25977,24.93,29.51,76.68,0
1,25978,24.95,29.50,76.66,0
1,25979,25.00,29.48,76.68,0
1,25980,25.03,29.38,76.67,0
1,25981,24.97,29.37,76.68,0
1,25982,25.02,29.45,76.67,0
1,25983,25.13,29.39,76.66,0
1,25984,25.21,29.50,76.71,0
1,25985,25.20,29.45,76.67,0
1,25986,25.37,29.45,76.68,0
1,25987,26.79,29.47,76.68,0
1,25988,26.71,29.27,76.66,0
1,25989,26.80,29.21,76.67,0
1,25990,26.87,29.22,76.68,0
1,25991,26.59,29.29,76.65,0
1,25992,26.67,29.42,76.68,0
1,25993,26.69,29.46,76.68,0
1,25994,26.95,29.37,76.68,0
1,25995,26.20,29.32,76.68,0
1,25996,25.62,29.54,76.68,0
1,25997,25.90,29.03,76.66,0
1,25998,25.79,28.69,76.69,0
1,25999,25.69,28.62,76.67,0
1,26000,25.56,28.51,76.68,0
1,26001,25.51,28.50,76.66,0
1,26002,25.48,28.80,76.69,0
1,26003,25.52,28.72,76.67,0
1,26004,26.45,28.62,76.67,0
1,26005,27.79,28.55,76.67,0
1,26006,28.15,28.52,76.68,0
1,26007,28.59,28.46,76.67,0
1,26008,28.29,28.42,76.67,0
1,26009,27.86,28.28,76.67,0
1,26010,27.80,28.12,76.68,0
1,26011,28.71,28.01,76.67,0
1,26012,28.34,27.70,76.69,0
1,26013,28.48,27.48,76.66,0
1,26014,28.84,27.31,76.67,0
1,26015,29.29,27.07,76.67,0
1,26016,29.46,26.82,76.69,0
1,26017,29.23,26.62,76.68,0
1,26018,29.27,26.37,76.66,0
1,26019,29.50,26.05,76.68,0
1,26020,29.12,25.81,76.68,0
1,26021,28.10,25.69,76.67,0
1,26022,27.39,25.56,76.68,0
1,26023,26.72,25.45,76.67,0
1,26024,26.32,25.17,76.68,0
1,26025,26.20,25.03,76.69,0
1,26026,25.95,24.95,76.68,0
1,26027,25.79,25.00,76.67,0
1,26028,25.60,25.04,76.67,0
1,26029,25.42,25.29,76.68,0
1,26030,25.18,25.89,76.66,0
1,26031,25.07,27.07,76.68,0
1,26032,25.07,27.45,76.68,0
1,26033,25.10,27.92,76.66,0
1,26034,25.12,28.07,76.67,0
1,26035,25.54,28.23,76.65,0
1,26036,25.79,28.27,76.67,0
1,26037,25.79,28.11,76.67,0
1,26038,25.59,28.30,76.68,0
1,26039,25.55,28.60,76.67,0
1,26040,25.53,28.82,76.67,0
1,26041,25.85,29.04,76.67,0
1,26042,27.20,29.10,76.68,0
1,26043,28.50,29.21,76.68,0
1,26044,29.31,29.21,76.69,0
1,26045,29.05,29.20,76.68,0
1,26046,28.78,29.12,76.70,0
1,26047,28.04,28.86,76.67,0
1,26048,27.62,28.59,76.69,0
1,26049,27.04,28.22,76.68,0
1,26050,27.07,27.94,76.67,0
1,26051,27.51,27.76,76.67,0
1,26052,27.56,27.47,76.65,0
1,26053,27.94,27.27,76.68,0
1,26054,28.68,27.10,76.67,0
1,26055,29.05,26.95,76.69,0
1,26056,29.29,26.79,76.67,0
1,26057,29.42,26.51,76.69,0
1,26058,29.14,26.44,76.67,0
1,26059,28.60,26.29,76.66,0
1,26060,28.70,26.28,76.69,0
1,26061,29.69,26.18,76.67,0
1,26062,28.87,25.94,76.66,0
1,26063,28.53,25.78,76.66,0
1,26064,28.90,25.79,76.67,0
1,26065,29.06,25.68,76.67,0
1,26066,29.89,25.50,76.68,0
1,26067,30.10,25.46,76.68,0
1,26068,29.60,25.30,76.68,0
1,26069,28.42,25.10,76.67,0
1,26070,27.98,25.04,76.69,0
1,26071,29.36,24.95,76.67,0
1,26072,29.93,24.88,76.67,0
1,26073,30.57,24.86,76.68,0
1,26074,30.55,24.87,76.68,0
1,26075,31.02,24.72,76.67,0
1,26076,30.64,24.55,76.66,0
1,26077,29.71,24.39,76.68,0
1,26078,29.76,24.30,76.68,0
1,26079,29.79,24.31,76.69,0
1,26080,30.02,24.04,76.68,0
1,26081,30.05,24.05,76.69,0
1,26082,30.20,24.01,76.68,0
