Instrument:,RS41,Measurement End Time:,"06/14/2024, 13:54:52",NCAR RS41 sensor on Strateole 2 Super Pressure Balloons
valid,frame_count,air_temp_degC,humdity_percent,pres_mb,module_error
1,165,-100.0,0.0,771.9,136
1,166,-100.0,0.0,771.94,136
1,167,-100.0,0.0,771.88,136
1,168,-100.0,0.0,771.94,136
1,169,-100.0,0.0,771.84,136
1,170,-100.0,0.0,771.94,136
1,171,-100.0,0.0,771.9,136
1,172,-100.0,0.0,771.9,136
1,173,-100.0,0.0,771.96,136
1,174,-100.0,0.0,771.92,136
1,175,-100.0,0.0,771.94,136
1,176,-100.0,0.0,771.94,136
1,177,-100.0,0.0,771.96,136
1,178,-100.0,0.0,771.82,136
1,179,-100.0,0.0,771.92,136
1,180,-100.0,0.0,772.0,136
1,181,-100.0,0.0,771.84,136
1,182,-100.0,0.0,771.84,136
1,183,-100.0,0.0,771.88,136
1,184,-100.0,0.0,771.94,136
1,185,-100.0,0.0,771.94,136
1,186,-100.0,0.0,771.96,136
1,187,-100.0,0.0,771.92,136
1,188,-100.0,0.0,771.96,136
1,189,-100.0,0.0,771.84,136
1,190,-100.0,0.0,771.88,136
1,191,-100.0,0.0,771.96,136
1,192,-100.0,0.0,772.02,136
1,193,-100.0,0.0,772.02,136
1,194,-100.0,0.0,771.9,136
1,195,-100.0,0.0,772.0,136
1,196,-100.0,0.0,771.92,136
1,197,-100.0,0.0,772.02,136
1,198,-100.0,0.0,772.06,136
1,199,-100.0,0.0,771.96,136
1,200,-100.0,0.0,771.98,136
1,201,-100.0,0.0,771.88,136
1,202,-100.0,0.0,772.0,136
1,203,-100.0,0.0,771.96,136
1,204,-100.0,0.0,771.92,136
1,205,-100.0,0.0,771.98,136
1,206,-100.0,0.0,771.9,136
1,207,-100.0,0.0,771.96,136
1,208,-100.0,0.0,772.04,136
1,209,-100.0,0.0,771.92,136
1,210,-100.0,0.0,771.96,136
1,211,-100.0,0.0,771.98,136
1,212,-100.0,0.0,771.94,136
1,213,-100.0,0.0,771.96,136
1,214,-100.0,0.0,772.02,136
